asum,1, idx_t, n, TestType const *, x, int_t, incx,,,,,,,,,,,,,,,,,,,,,,
axpy,1, idx_t, n, TestType, alpha, TestType const *, x, int_t, incx, TestType *, y, int_t, incy,,,,,,,,,,,,,,,,
copy,1, idx_t, n, TestType const *, x, int_t, incx, TestType *, y, int_t, incy,,,,,,,,,,,,,,,,,,
dot,1, idx_t, n, TestType const *, x, int_t, incx, TestType const *, y, int_t, incy,,,,,,,,,,,,,,,,,,
dotu,1, idx_t, n, TestType const *, x, int_t, incx, TestType const *, y, int_t, incy,,,,,,,,,,,,,,,,,,
iamax,1, idx_t, n, TestType const *, x, int_t, incx,,,,,,,,,,,,,,,,,,,,,,
nrm2,1, idx_t, n, TestType const *, x, int_t, incx,,,,,,,,,,,,,,,,,,,,,,
rot,1, idx_t, n, TestType *, x, int_t, incx, TestType *, y, int_t, incy, real_type<TestType>, c, TestType, s,,,,,,,,,,,,,,
rotg,1, TestType *, a, TestType *, b, real_type<TestType> *, c, TestType *, s,,,,,,,,,,,,,,,,,,,,
rotm,1, idx_t, n, TestType *, x, int_t, incx, TestType *, y, int_t, incy, TestType const *, param,,,,,,,,,,,,,,,,
rotmg,1, TestType *, d1, TestType *, d2, TestType *, a, TestType, b, TestType *, param,,,,,,,,,,,,,,,,,,
scal,1, idx_t, n, TestType, alpha, TestType *, x, int_t, incx,,,,,,,,,,,,,,,,,,,,
swap,1, idx_t, n, TestType *, x, int_t, incx, TestType *, y, int_t, incy,,,,,,,,,,,,,,,,,,
gemv,2, Layout, layout, Op, trans, idx_t, m, idx_t, n, TestType, alpha, TestType const *, A, idx_t, lda, TestType const *, x, int_t, incx, TestType, beta, TestType *, y, int_t, incy,,,,
ger,2, Layout, layout, idx_t, m, idx_t, n, TestType, alpha, TestType const *, x, int_t, incx, TestType const *, y, int_t, incy, TestType *, A, idx_t, lda,,,,,,,,
geru,2, Layout, layout, idx_t, m, idx_t, n, TestType, alpha, TestType const *, x, int_t, incx, TestType const *, y, int_t, incy, TestType *, A, idx_t, lda,,,,,,,,
hemv,2, Layout, layout, Uplo, uplo, idx_t, n, TestType, alpha, TestType const *, A, idx_t, lda, TestType const *, x, int_t, incx, TestType, beta, TestType *, y, int_t, incy,,,,,,
her,2, Layout, layout, Uplo, uplo, idx_t, n, real_type<TestType>, alpha, TestType const *, x, int_t, incx, TestType *, A, idx_t, lda,,,,,,,,,,,,
her2,2, Layout, layout, Uplo, uplo, idx_t, n, TestType, alpha, TestType const *, x, int_t, incx, TestType const *, y, int_t, incy, TestType *, A, idx_t, lda,,,,,,,,
symv,2, Layout, layout, Uplo, uplo, idx_t, n, TestType, alpha, TestType const *, A, idx_t, lda, TestType const *, x, int_t, incx, TestType, beta, TestType *, y, int_t, incy,,,,,,
syr,2, Layout, layout, Uplo, uplo, idx_t, n, TestType, alpha, TestType const *, x, int_t, incx, TestType *, A, idx_t, lda,,,,,,,,,,,,
syr2,2, Layout, layout, Uplo, uplo, idx_t, n, TestType, alpha, TestType const *, x, int_t, incx, TestType const *, y, int_t, incy, TestType *, A, idx_t, lda,,,,,,,,
trmv,2, Layout, layout, Uplo, uplo, Op, trans, Diag, diag, idx_t, n, TestType const *, A, idx_t, lda, TestType *, x, int_t, incx,,,,,,,,,,
trsv,2, Layout, layout, Uplo, uplo, Op, trans, Diag, diag, idx_t, n, TestType const *, A, idx_t, lda, TestType *, x, int_t, incx,,,,,,,,,,
gemm,3, Layout, layout, Op, transA, Op, transB, idx_t, m, idx_t, n, idx_t, k, TestType, alpha, TestType const *, A, idx_t, lda, TestType const *, B, idx_t, ldb, TestType, beta, TestType *, C, idx_t, ldc
hemm,3, Layout, layout, Side, side, Uplo, uplo, idx_t, m, idx_t, n, TestType, alpha, TestType const *, A, idx_t, lda, TestType const *, B, idx_t, ldb, TestType, beta, TestType *, C, idx_t, ldc,,
her2k,3, Layout, layout, Uplo, uplo, Op, trans, idx_t, n, idx_t, k, TestType, alpha, TestType const *, A, idx_t, lda, TestType const *, B, idx_t, ldb, real_type<TestType>, beta, TestType *, C, idx_t, ldc,,
herk,3, Layout, layout, Uplo, uplo, Op, trans, idx_t, n, idx_t, k, real_type<TestType>, alpha, TestType const *, A, idx_t, lda, real_type<TestType>, beta, TestType *, C, idx_t, ldc,,,,,,
symm,3, Layout, layout, Side, side, Uplo, uplo, idx_t, m, idx_t, n, TestType, alpha, TestType const *, A, idx_t, lda, TestType const *, B, idx_t, ldb, TestType, beta, TestType *, C, idx_t, ldc,,
syr2k,3, Layout, layout, Uplo, uplo, Op, trans, idx_t, n, idx_t, k, TestType, alpha, TestType const *, A, idx_t, lda, TestType const *, B, idx_t, ldb, TestType, beta, TestType *, C, idx_t, ldc,,
syrk,3, Layout, layout, Uplo, uplo, Op, trans, idx_t, n, idx_t, k, TestType, alpha, TestType const *, A, idx_t, lda, TestType, beta, TestType *, C, idx_t, ldc,,,,,,
trmm,3, Layout, layout, Side, side, Uplo, uplo, Op, trans, Diag, diag, idx_t, m, idx_t, n, TestType, alpha, TestType const *, A, idx_t, lda, TestType *, B, idx_t, ldb,,,,
trsm,3, Layout, layout, Side, side, Uplo, uplo, Op, trans, Diag, diag, idx_t, m, idx_t, n, TestType, alpha, TestType const *, A, idx_t, lda, TestType *, B, idx_t, ldb,,,,
